,player,rating,kills,ok,kost,kpr,srv,1vx,plant,hs,atk,def
1,DEEP,1.54,10-8 (+2),0-1 (-1),67%,0.83,33%,1,0,0%,Nomad,Smoke
2,DERIUS,1.15,11-10 (+1),1-0 (+1),75%,0.92,17%,0,0,55%,Maverick,Jager
3,NATHAN,0.37,4-10 (-6),0-6 (-6),17%,0.33,17%,0,0,75%,IQ,Lesion
4,QUADZY,0.77,7-9 (-2),1-0 (+1),50%,0.58,25%,0,0,43%,Zofia,Jager
5,DEAPEK,1.17,10-6 (+4),1-1 (+0),67%,0.83,50%,0,0,11%,Capitao,Mute
6,LEONSKI,0.67,5-9 (-4),0-2 (-2),42%,0.42,25%,0,1,60%,IQ,Castle
7,AVAICHE,1.6,16-9 (+7),5-1 (+4),83%,1.33,25%,1,1,44%,Ash,Echo
8,AUER,0.78,5-10 (-5),0-0 (+0),67%,0.42,17%,0,0,80%,Hibana,Maestro
9,OPTYK,0.94,9-9 (+0),3-1 (+2),42%,0.75,25%,1,0,44%,Zofia,Mute
0,BIBOO,0.88,6-8 (-2),2-1 (+1),73%,0.55,27%,0,0,25%,Capitao,Maestro
1,SPARK,1.01,8-9 (-1),1-1 (+0),83%,0.67,25%,0,0,88%,Maverick,Valkyrie
2,BRID,0.99,8-8 (+0),2-1 (+1),58%,0.67,33%,0,2,25%,Thermite,Smoke
3,PANIX,1.36,11-7 (+4),3-3 (+0),75%,0.92,42%,1,0,20%,IQ,Valkyrie
4,SNKY,1.34,13-9 (+4),1-1 (+0),83%,1.08,25%,0,1,69%,Zofia,Jager
5,ALATION,0.93,7-9 (-2),0-1 (-1),83%,0.58,25%,0,0,50%,Capitao,Smoke
6,TOROK,0.89,7-9 (-2),1-2 (-1),75%,0.58,25%,0,0,29%,Thermite,Maestro
7,QUAAL,0.95,5-7 (-2),0-1 (-1),58%,0.42,42%,1,0,40%,IQ,Maestro
8,SPARXO,0.96,6-8 (-2),0-0 (+0),75%,0.5,33%,0,1,33%,Sledge,Lesion
9,SLOPPY,1.17,10-7 (+3),1-0 (+1),75%,0.83,42%,0,0,20%,Maverick,Jager
0,PANNARI,0.3,3-11 (-8),0-4 (-4),27%,0.27,0%,0,0,33%,Buck,Bandit
1,LIVEN,1.19,9-6 (+3),0-2 (-2),82%,0.82,45%,0,0,50%,IQ,Jager
2,RENSHIRO,1.68,16-7 (+9),4-0 (+4),91%,1.45,36%,0,0,50%,Zofia,Kaid
3,JOGHURTZZ,1.32,10-7 (+3),2-1 (+1),82%,0.91,36%,0,1,40%,Buck,Lesion
4,VOY,1.24,9-6 (+3),0-1 (-1),82%,0.82,45%,1,0,44%,Maverick,Smoke
5,STIGI,1.55,12-8 (+4),1-1 (+0),55%,1.09,27%,1,1,58%,IQ,Mira
6,OSKAMOSKA,0.49,4-10 (-6),0-2 (-2),36%,0.36,9%,0,1,50%,Hibana,Jager
7,MOVETAHO,0.71,6-11 (-5),2-0 (+2),64%,0.55,0%,0,0,33%,Zofia,Lesion
8,LION-,0.85,5-7 (-2),1-0 (+1),64%,0.45,36%,0,1,75%,Ash,Valkyrie
9,KALENSKI,1,8-9 (-1),1-0 (+1),64%,0.73,18%,1,0,50%,Thatcher,Smoke
0,BIBOO,1.21,11-8 (+3),2-3 (-1),64%,1,27%,0,0,64%,Hibana,Lesion
1,SPARK,1.31,10-5 (+5),1-0 (+1),91%,0.91,55%,0,0,50%,Thatcher,Bandit
2,BRID,0.87,4-6 (-2),0-0 (+0),64%,0.36,45%,0,2,0%,Thermite,Smoke
3,SNKY,1.1,9-8 (+1),1-2 (-1),64%,0.82,27%,1,0,67%,Zofia,Kaid
4,DEEP,0.95,6-8 (-2),1-1 (+0),73%,0.55,27%,0,0,83%,Thatcher,Doc
5,DERIUS,0.46,3-10 (-7),1-1 (+0),55%,0.27,9%,0,0,33%,Hibana,Jager
6,NATHAN,0.58,4-8 (-4),1-1 (+0),36%,0.36,27%,0,0,0%,Sledge,Smoke
7,QUAAL,0.93,6-7 (-1),1-1 (+0),73%,0.55,36%,0,0,60%,Buck,Valkyrie
8,AUER,1.16,10-7 (+3),2-1 (+1),64%,0.91,36%,0,0,30%,Thermite,Jager
9,OPTYK,1.17,11-7 (+4),1-1 (+0),64%,1,36%,0,0,45%,Zofia,Bandit
0,PANIX,1.23,12-9 (+3),4-1 (+3),64%,1.09,18%,0,0,75%,Zofia,Vigil
1,ALATION,0.81,7-9 (-2),0-2 (-2),55%,0.64,18%,0,0,33%,Capitao,Smoke
2,TOROK,0.46,2-10 (-8),0-1 (-1),36%,0.18,9%,0,1,50%,Thermite,Maestro
3,MEADZZZ,1.48,10-6 (+4),1-0 (+1),82%,0.91,45%,1,1,50%,Thermite,Smoke
4,QUADZY,0.9,6-6 (+0),2-2 (+0),55%,0.55,45%,0,0,20%,Zofia,Pulse
5,DEAPEK,1.01,4-6 (-2),1-1 (+0),91%,0.36,45%,0,0,50%,Capitao,Castle
6,LEONSKI,1.26,12-7 (+5),0-1 (-1),73%,1.09,36%,0,0,45%,Nomad,Lesion
7,AVAICHE,1.68,14-4 (+10),2-1 (+1),82%,1.27,64%,0,1,38%,Sledge,Jager
8,SPARXO,0.74,5-8 (-3),0-0 (+0),55%,0.45,27%,0,1,20%,Buck,Bandit
9,SLOPPY,0.44,3-10 (-7),1-2 (-1),36%,0.27,9%,0,0,33%,Nomad,Jager
0,ALIVE,0.82,6-8 (-2),2-1 (+1),56%,0.67,11%,0,0,50%,Ash,Castle
1,TACTISS,1,7-7 (+0),2-2 (+0),56%,0.78,22%,0,1,57%,Blackbeard,Maestro
2,DJUZ,0.49,4-9 (-5),0-0 (+0),22%,0.44,0%,0,0,50%,Zofia,Pulse
3,KSIIX,0.6,4-8 (-4),0-0 (+0),44%,0.44,11%,0,0,75%,IQ,Jager
4,KENDREW,1.39,10-5 (+5),1-0 (+1),78%,1.11,44%,0,0,20%,IQ,Doc
5,POSEIDON,0.15,0-9 (-9),0-2 (-2),33%,0,0%,0,1,0%,Sledge,Smoke
6,CTZN,0.96,6-5 (+1),1-2 (-1),56%,0.67,44%,0,0,50%,Zofia,Alibi
7,DOKI,1.2,6-4 (+2),2-0 (+2),78%,0.67,56%,0,0,60%,Sledge,Lesion
8,SAVES,1.83,13-3 (+10),1-1 (+0),78%,1.44,67%,1,0,23%,Twitch,Jager
9,NELO,1.07,5-4 (+1),0-1 (-1),78%,0.56,56%,0,0,20%,Dokkaebi,Smoke
0,LIVEN,0.93,4-6 (-2),1-0 (+1),78%,0.44,33%,0,0,50%,Sledge,Smoke
1,RENSHIRO,0.82,5-6 (-1),1-1 (+0),67%,0.56,33%,0,0,80%,Zofia,Castle
2,JOGHURTZZ,1.16,7-6 (+1),0-1 (-1),78%,0.78,33%,1,0,33%,Nomad,Bandit
3,VOY,1.08,7-6 (+1),0-1 (-1),78%,0.78,33%,0,0,29%,Maverick,Castle
4,DEEP,0.73,4-9 (-5),0-2 (-2),78%,0.44,0%,0,0,100%,Nomad,Castle
5,DERIUS,0.73,6-9 (-3),1-1 (+0),56%,0.67,0%,0,0,50%,IQ,Jager
6,NATHAN,1,6-6 (+0),0-0 (+0),75%,0.75,25%,0,0,50%,Ash,Smoke
7,LION-,1.93,15-5 (+10),3-0 (+3),89%,1.67,44%,0,0,50%,Ash,Pulse
8,AUER,0.89,6-7 (-1),2-0 (+2),67%,0.67,22%,0,0,67%,Hibana,Doc
9,OPTYK ,0.86,7-7 (+0),0-2 (-2),44%,0.78,22%,0,0,43%,Sledge,Lesion
0,ALIVE,1.06,9-9 (+0),2-0 (+2),64%,0.82,18%,0,0,78%,Capitao,Lesion
1,TACTISS,0.94,7-8 (-1),3-1 (+2),55%,0.64,27%,0,0,86%,IQ,Maestro
2,DJUZ,0.77,5-7 (-2),0-1 (-1),36%,0.45,36%,1,0,60%,Zofia,Jager
3,KSIIX,1.37,13-8 (+5),3-1 (+2),73%,1.18,27%,0,0,62%,Nomad,Bandit
4,MEADZZZ,0.76,4-8 (-4),0-1 (-1),73%,0.36,27%,0,0,0%,Hibana,Smoke
5,POSEIDON,0.44,2-8 (-6),0-0 (+0),36%,0.18,27%,0,0,0%,Hibana,Smoke
6,QUADZY,0.74,6-8 (-2),1-3 (-2),55%,0.55,27%,0,0,0%,Zofia,Mute
7,DEAPEK,0.81,6-8 (-2),0-3 (-3),55%,0.55,27%,0,0,50%,IQ,Lesion
8,LEONSKI,1.38,11-6 (+5),2-0 (+2),64%,1,45%,1,1,73%,Thatcher,Maestro
9,AVAICHE,1.39,13-6 (+7),0-1 (-1),64%,1.18,45%,0,0,15%,Nomad,Pulse
0,PANIX,0.99,7-7 (+0),1-2 (-1),70%,0.7,30%,0,0,57%,Zofia,Ela
1,ALATION,1.14,9-7 (+2),1-0 (+1),60%,0.9,30%,0,0,33%,Hibana,Smoke
2,TOROK,1.17,6-5 (+1),1-0 (+1),70%,0.6,50%,1,1,17%,Thermite,Maestro
3,KENDREW,1.1,8-8 (+0),2-1 (+1),80%,0.8,20%,0,1,63%,Thermite,Doc
4,CTZN,0.94,8-8 (+0),0-1 (-1),60%,0.8,20%,0,0,57%,Zofia,Castle
5,DOKI,0.86,7-8 (-1),2-1 (+1),60%,0.7,20%,0,0,43%,Ash,Maestro
6,SAVES,0.67,3-7 (-4),0-2 (-2),60%,0.3,30%,0,0,100%,Sledge,Jager
7,NELO,0.8,5-7 (-2),1-0 (+1),60%,0.5,30%,0,0,20%,Hibana,Smoke
8,SPARXO,1.03,5-5 (+0),2-0 (+2),70%,0.5,50%,0,0,40%,Capitao,Castle
9,SLOPPY,1.14,10-7 (+3),0-3 (-3),60%,1,30%,0,0,70%,Thatcher,Jager
0,PANNARI,0.63,5-7 (-2),0-4 (-4),40%,0.5,30%,0,0,60%,Buck,Jager
1,BIBOO,1.23,8-6 (+2),2-0 (+2),80%,0.8,40%,0,0,63%,Maverick,Castle
2,SPARK,0.98,5-4 (+1),0-0 (+0),70%,0.5,60%,0,0,40%,Thatcher,Castle
3,BRID,1.45,9-5 (+4),1-0 (+1),60%,0.9,50%,1,2,44%,Hibana,Smoke
4,SNKY,0.75,3-8 (-5),2-0 (+2),70%,0.3,20%,0,0,33%,Zofia,Jager
5,QUAAL,1.42,11-5 (+6),3-2 (+1),70%,1.1,50%,0,0,36%,Jackal,Smoke
6,STIGI,0.77,6-8 (-2),1-2 (-1),50%,0.6,20%,0,0,83%,Jackal,Valkyrie
7,OSKAMOSKA,0.84,5-6 (-1),0-0 (+0),70%,0.5,40%,0,0,20%,Nomad,Castle
8,MOVETAHO,0.81,7-8 (-1),1-2 (-1),40%,0.7,20%,0,0,71%,Maverick,Maestro
9,KALENSKI,0.84,5-7 (-2),0-0 (+0),60%,0.5,30%,0,1,40%,Hibana,Smoke
0,MAGNET,0.84,7-8 (-1),1-1 (+0),58%,0.58,33%,0,0,17%,Thatcher,Valkyrie
1,LUSTY,0.94,5-6 (-1),1-0 (+1),75%,0.42,50%,0,0,20%,Hibana,Maestro
2,RIZRAZ ,0.7,7-10 (-3),2-1 (+1),45%,0.64,9%,0,0,67%,Nomad,Smoke
3,ACEZ,1.37,12-7 (+5),2-1 (+1),75%,1,42%,0,0,50%,Thermite,Maestro
4,CUTIE,1.04,8-10 (-2),0-0 (+0),67%,0.67,17%,0,3,57%,Thermite,Bandit
5,KNGZ,0.75,6-8 (-2),1-1 (+0),42%,0.5,33%,0,0,50%,Thatcher,Valkyrie
6,VIR7UE,1.23,11-6 (+5),2-1 (+1),67%,0.92,50%,0,0,67%,Buck,Jager
7,JACKDADDY,1.26,12-7 (+5),2-1 (+1),75%,1,42%,0,0,18%,Buck,Lesion
8,SHAK,0.93,7-8 (-1),0-2 (-2),58%,0.58,33%,1,0,71%,Hibana,Mute
9,ITBESTYLE,0.64,4-9 (-5),1-4 (-3),50%,0.33,25%,0,0,25%,IQ,Jager
0,MAGNET,1.5,9-3 (+6),0-0 (+0),88%,1.13,63%,0,0,29%,Zofia,Smoke
1,LUSTY,1.76,11-2 (+9),1-0 (+1),88%,1.38,75%,0,0,50%,Capitao,Mira
2,RIZRAZ,1.12,5-6 (-1),2-1 (+1),100%,0.63,25%,0,0,40%,Ash,Pulse
3,ACEZ,1.23,5-3 (+2),0-1 (-1),88%,0.63,63%,0,1,60%,Hibana,Echo
4,CUTIE,0.47,2-7 (-5),0-1 (-1),25%,0.25,13%,0,1,50%,Thermite,Mute
5,KNGZ,0.5,3-7 (-4),1-0 (+1),50%,0.38,13%,0,0,67%,Capitao,Echo
6,VIR7UE,1.1,6-4 (+2),2-1 (+1),63%,0.75,50%,0,0,0%,Sledge,Jager
7,JACKDADDY,0.86,5-7 (-2),1-1 (+0),63%,0.63,13%,0,1,20%,Sledge,Castle
8,SHAK,0.6,5-8 (-3),1-2 (-1),38%,0.63,0%,0,0,60%,Hibana,Smoke
9,ITBESTYLE,0.63,3-7 (-4),0-1 (-1),50%,0.38,13%,0,0,33%,Zofia,Castle
0,BEASTLY,1.19,9-7 (+2),1-0 (+1),75%,0.75,42%,0,2,50%,Hibana,Smoke
1,EVLWAFFLE,0.93,8-9 (-1),0-1 (-1),50%,0.67,25%,0,2,63%,Twitch,Smoke
2,SPADES,1.23,14-9 (+5),0-1 (-1),67%,1.17,25%,0,0,50%,Nomad,Pulse
3,YETI,0.67,6-9 (-3),3-3 (+0),42%,0.5,25%,0,0,25%,Buck,Mute
4,KARNAGEB,1.21,12-9 (+3),1-1 (+0),67%,1,25%,0,0,50%,Zofia,Jager
5,CALI,0.53,3-9 (-6),0-1 (-1),42%,0.25,25%,0,0,67%,Ash,Alibi
6,EUPHORIA,1.24,12-7 (+5),1-0 (+1),75%,1,42%,0,0,42%,IQ,Rook
7,MODIGGA,0.51,3-11 (-8),2-2 (+0),50%,0.25,8%,0,0,67%,Zofia,Jager
8,READ,1.11,9-7 (+2),0-0 (+0),58%,0.75,42%,1,1,67%,Dokkaebi,Doc
9,TOUGHY,1.14,9-8 (+1),4-3 (+1),67%,0.75,33%,1,0,56%,Buck,Valkyrie
0,TALON,1.24,7-4 (+3),2-1 (+1),89%,0.78,56%,0,0,29%,Nomad,Smoke
1,ZTHUNDER,0.66,5-9 (-4),0-1 (-1),56%,0.56,0%,0,0,25%,Buck,Smoke
2,HOLIDAYNOG,0.57,3-9 (-6),3-2 (+1),56%,0.33,0%,0,0,100%,IQ,Smoke
3,RAINBOW,0.73,3-6 (-3),0-2 (-2),67%,0.33,33%,0,0,100%,Montagne,Mute
4,GLITCH,1.13,8-7 (+1),0-0 (+0),67%,0.89,22%,0,0,38%,Thermite,Mute
5,CHEF,1.86,13-4 (+9),1-1 (+0),100%,1.44,56%,1,0,69%,Thatcher,Castle
6,PIXEL,0.8,6-7 (-1),0-0 (+0),44%,0.67,22%,0,0,0%,Twitch,Jager
7,RICH,1.12,10-8 (+2),0-1 (-1),67%,1.11,11%,0,0,63%,Capitao,Doc
8,AFACTOR,1.29,10-5 (+5),1-1 (+0),67%,1.11,44%,0,0,70%,Ash,Smoke
9,PROPHET,0.54,2-8 (-6),2-0 (+2),44%,0.22,11%,0,0,100%,Thermite,Castle
0,TEHMPER,0.77,4-8 (-4),3-0 (+3),70%,0.4,20%,0,0,50%,IQ,Valkyrie
1,NOTLOADING,1.4,12-7 (+5),2-1 (+1),50%,1.2,30%,1,1,33%,Buck,Bandit
2,DOODLE,0.92,7-7 (+0),1-3 (-2),60%,0.7,30%,0,0,17%,Buck,Valkyrie
3,BOMBS,1.15,8-7 (+1),1-0 (+1),80%,0.8,30%,0,1,75%,Thermite,Smoke
4,HYENA,1.05,4-5 (-1),1-0 (+1),90%,0.4,50%,0,0,50%,IQ,Echo
5,YARDY,1.6,13-6 (+7),0-2 (-2),80%,1.3,40%,0,0,38%,Sledge,Jager
6,REXEN,1.21,10-6 (+4),0-1 (-1),60%,1,40%,0,1,56%,Zofia,Bandit
7,ABUNAI,0.77,8-10 (-2),0-0 (+0),50%,0.8,0%,0,0,88%,Capitao,Smoke
8,MEX,0.78,6-9 (-3),1-1 (+0),60%,0.6,10%,0,0,67%,Nomad,Jager
9,NUGGS,0.42,1-9 (-8),0-1 (-1),50%,0.1,10%,0,1,100%,Thermite,Echo
0,NEPTUNEZ,0.9,6-8 (-2),2-1 (+1),67%,0.67,11%,0,0,0%,Buck,Jager
1,GURMY,1.14,7-5 (+2),1-2 (-1),44%,0.78,44%,1,1,0%,Capitao,Mute
2,AVIAN,0.65,5-8 (-3),0-0 (+0),44%,0.56,11%,0,0,40%,Capitao,Mute
3,SUPR,0.47,3-8 (-5),0-3 (-3),44%,0.33,11%,0,0,67%,Nomad,Jager
4,GODDESS,1,7-7 (+0),0-0 (+0),78%,0.78,22%,0,0,43%,Hibana,Maestro
5,GHOST,1.08,8-8 (+0),2-1 (+1),78%,0.89,11%,0,0,29%,Zofia,Smoke
6,ART,1.35,9-5 (+4),0-1 (-1),78%,1,44%,1,1,57%,Buck,Bandit
7,OASIS,0.89,5-6 (-1),0-1 (-1),56%,0.56,33%,0,0,0%,Hibana,Smoke
8,MERC,1.03,7-8 (-1),3-0 (+3),78%,0.78,11%,0,0,50%,Ash,Jager
9,FULTZ ,1.52,11-5 (+6),1-0 (+1),89%,1.22,44%,0,0,40%,IQ,Pulse
0,NEPTUNEZ,0.9,7-8 (-1),2-1 (+1),56%,0.78,11%,1,0,43%,Buck,Doc
1,AVIAN,0.3,3-9 (-6),0-2 (-2),22%,0.33,0%,0,0,33%,Capitao,Castle
2,SUPR,1.06,7-7 (+0),0-2 (-2),78%,0.78,22%,0,0,50%,Jackal,Bandit
3,GODDESS,0.6,4-8 (-4),0-1 (-1),44%,0.44,11%,0,0,25%,Hibana,Smoke
4,GHOST,0.81,6-8 (-2),0-1 (-1),56%,0.67,11%,0,0,33%,Zofia,Jager
5,ZTHUNDER,0.94,6-6 (+0),3-1 (+2),67%,0.67,33%,0,0,33%,Buck,Castle
6,HOLIDAYNOG,1.53,12-6 (+6),3-0 (+3),67%,1.33,33%,0,0,45%,Blackbeard,Smoke
7,PIXEL,1.57,10-4 (+6),0-1 (-1),89%,1.11,56%,1,0,40%,Zofia,Jager
8,RICH,1.42,10-5 (+5),1-0 (+1),89%,1.11,44%,0,0,40%,Jackal,Maestro
9,PROPHET,0.91,2-6 (-4),0-0 (+0),78%,0.22,33%,0,2,0%,Hibana,Valkyrie
0,BEASTLY,0.77,5-8 (-3),0-0 (+0),58%,0.42,33%,0,1,60%,Thermite,Smoke
1,TEHMPER,1,8-8 (+0),1-1 (+0),67%,0.67,33%,0,0,25%,IQ,Jager
2,KARNAGEB,1.09,9-8 (+1),0-0 (+0),67%,0.75,33%,0,0,56%,Maverick,Jager
3,CALI,1.29,13-7 (+6),2-2 (+0),67%,1.08,42%,0,0,42%,Thatcher,Pulse
4,EUPHORIA,1.32,12-7 (+5),2-1 (+1),75%,1,42%,0,1,42%,IQ,Echo
5,NOTLOADING,0.76,7-11 (-4),3-2 (+1),50%,0.58,8%,0,0,67%,Sledge,Valkyrie
6,ABUNAI,1.1,10-7 (+3),0-1 (-1),50%,0.83,42%,1,0,30%,Maverick,Smoke
7,MEX,1.23,12-9 (+3),3-0 (+3),67%,1,25%,0,0,33%,Glaz,Kaid
8,NUGGS,0.81,3-8 (-5),0-1 (-1),67%,0.25,33%,0,5,100%,Thermite,Echo
9,TOUGHY,0.53,4-10 (-6),1-4 (-3),50%,0.33,17%,0,0,0%,Sledge,Valkyrie
0,EVLWAFFLE,1,5-6 (-1),0-1 (-1),67%,0.56,33%,0,2,60%,Thermite,Smoke
1,SPADES,1.44,10-5 (+5),0-0 (+0),89%,1.11,44%,0,0,29%,Nomad,Pulse
2,YETI,0.81,3-6 (-3),0-4 (-4),67%,0.33,33%,0,0,0%,Buck,Mute
3,MODIGGA,1.64,13-6 (+7),2-1 (+1),78%,1.44,33%,0,0,46%,Zofia,Jager
4,DOODLE,0.76,6-8 (-2),1-0 (+1),56%,0.67,11%,0,0,67%,Ash,Pulse
5,BOMBS,0.57,2-8 (-6),0-1 (-1),56%,0.22,11%,0,1,100%,Thermite,Smoke
6,HYENA,0.94,8-8 (+0),1-1 (+0),56%,0.89,11%,0,0,38%,Blackbeard,Maestro
7,YARDY,1.06,8-8 (+0),4-0 (+4),67%,0.89,11%,0,0,29%,Nomad,Valkyrie
8,REXEN,0.41,2-7 (-5),0-1 (-1),33%,0.22,22%,0,0,100%,Buck,Jager
9,READ,1.38,8-3 (+5),1-0 (+1),78%,0.89,67%,1,0,63%,IQ,Maestro
0,GURMY,0.93,6-5 (+1),0-1 (-1),50%,0.6,50%,0,0,50%,Jackal,Rook
1,TALON,1.15,9-7 (+2),2-0 (+2),80%,0.9,30%,0,0,33%,Jackal,Smoke
2,RAINBOW,0.81,5-7 (-2),0-1 (-1),60%,0.5,30%,0,0,0%,Buck,Pulse
3,GLITCH,0.35,1-9 (-8),0-1 (-1),40%,0.1,10%,0,1,100%,Thermite,Doc
4,CHEF,1.06,9-9 (+0),2-0 (+2),70%,0.9,10%,0,0,33%,Blackbeard,Jager
5,ART,0.82,5-6 (-1),0-1 (-1),60%,0.5,40%,0,0,0%,Buck,Smoke
6,OASIS,0.95,5-6 (-1),0-1 (-1),70%,0.5,40%,0,1,20%,Hibana,Valkyrie
7,MERC,1.34,12-8 (+4),3-2 (+1),80%,1.2,20%,0,0,42%,Twitch,Mute
8,AFACTOR,0.55,5-10 (-5),1-2 (-1),40%,0.5,0%,0,0,40%,Ash,Jager
9,FULTZ,1.66,14-4 (+10),1-0 (+1),80%,1.4,60%,0,0,9%,IQ,Pulse
0,EVLWAFFLE,0.54,1-10 (-9),0-1 (-1),50%,0.08,17%,0,2,0%,Hibana,Smoke
1,SPADES,1.55,16-6 (+10),1-2 (-1),67%,1.33,50%,1,1,40%,Nomad,Doc
2,YETI ,0.64,6-11 (-5),2-1 (+1),50%,0.5,8%,0,0,50%,Buck,Bandit
3,TEHMPER,0.97,7-8 (-1),1-1 (+0),67%,0.58,33%,1,0,33%,Thatcher,Jager
4,MODIGGA,0.78,5-7 (-2),0-4 (-4),50%,0.42,42%,1,0,0%,Zofia,Jager
5,READ,1.35,13-8 (+5),1-0 (+1),83%,1.08,33%,0,0,77%,Thatcher,Castle
6,ERAVONIA,1.08,8-8 (+0),0-2 (-2),83%,0.67,33%,0,1,63%,Thermite,Bandit
7,ABUNAI,0.53,2-10 (-8),0-0 (+0),50%,0.17,17%,0,0,50%,Capitao,Smoke
8,MEX,1.46,16-9 (+7),4-1 (+3),75%,1.33,25%,0,0,31%,Ash,Mute
9,NUGGS,1.07,9-7 (+2),3-0 (+3),67%,0.75,42%,0,0,0%,Sledge,Jager
0,GURMY,1.41,11-6 (+5),3-0 (+3),78%,1.22,33%,0,0,45%,Jackal,Mira
1,ZTHUNDER,0.76,6-8 (-2),0-1 (-1),56%,0.67,11%,0,0,17%,Buck,Castle
2,HOLIDAYNOG,0.97,7-7 (+0),1-3 (-2),67%,0.78,22%,0,0,40%,IQ,Smoke
3,ART,0.66,3-6 (-3),0-2 (-2),56%,0.33,33%,0,0,67%,Sledge,Smoke
4,OASIS,1.46,6-3 (+3),1-0 (+1),67%,0.67,67%,1,0,60%,Thermite,Smoke
5,PIXEL,1.34,10-6 (+4),2-0 (+2),67%,1.11,33%,1,0,20%,Maverick,Pulse
6,RICH,0.41,1-8 (-7),1-0 (+1),33%,0.11,11%,0,0,100%,Jackal,Doc
7,MERC,1.16,9-6 (+3),0-1 (-1),56%,1,33%,0,0,11%,Zofia,Jager
8,FULTZ,1.37,8-4 (+4),1-1 (+0),78%,0.89,56%,1,0,100%,Thatcher,Castle
9,PROPHET,0.48,1-8 (-7),0-1 (-1),44%,0.11,11%,0,1,100%,Thermite,Mira
0,BEASTLY,0.69,5-9 (-4),0-0 (+0),50%,0.42,25%,0,0,60%,Thermite,Smoke
1,KARNAGEB,1.1,10-9 (+1),1-0 (+1),75%,0.83,25%,0,0,78%,Zofia,Jager
2,CALI,0.81,8-10 (-2),4-2 (+2),42%,0.67,17%,0,0,17%,Buck,Bandit
3,EUPHORIA,1.14,11-8 (+3),0-1 (-1),58%,0.92,33%,0,1,64%,IQ,Doc
4,DOODLE,1.3,13-9 (+4),4-1 (+3),67%,1.08,25%,0,0,45%,Buck,Valkyrie
5,BOMBS,0.54,2-10 (-8),0-2 (-2),50%,0.17,17%,0,1,100%,Thermite,Smoke
6,HYENA,1.04,9-7 (+2),0-0 (+0),67%,0.75,42%,0,0,67%,Blackbeard,Doc
7,YARDY,0.82,8-11 (-3),1-1 (+0),50%,0.67,8%,0,1,63%,Sledge,Jager
8,REXEN,1.49,13-7 (+6),0-1 (-1),92%,1.08,42%,1,2,38%,Ash,Bandit
9,TOUGHY,0.89,9-10 (-1),0-2 (-2),67%,0.75,17%,0,0,44%,Sledge,Castle
0, NEPTUNEZ,1.76,18-8 (+10),5-0 (+5),91%,1.64,27%,0,0,38%,Buck,Jager
1,TALON,1.01,9-7 (+2),0-2 (-2),64%,0.82,36%,0,0,38%,Capitao,Smoke
2,AVIAN,1.25,11-6 (+5),1-1 (+0),64%,1,45%,0,0,45%,Capitao,Mute
3,SUPR,0.92,6-7 (-1),0-2 (-2),55%,0.55,36%,1,0,67%,Nomad,Castle
4,GODDESS,0.64,1-8 (-7),0-1 (-1),73%,0.09,27%,0,2,0%,Thermite,Maestro
5,GHOST,1,6-6 (+0),0-1 (-1),73%,0.55,45%,0,0,20%,Zofia,Smoke
6,RAINBOW,0.64,3-8 (-5),0-0 (+0),55%,0.27,27%,0,1,33%,Hibana,Mute
7,GLITCH,1.08,9-7 (+2),2-0 (+2),55%,0.82,36%,0,0,29%,Sledge,Echo
8,CHEF,0.94,9-9 (+0),1-1 (+0),55%,0.82,18%,0,0,67%,Maverick,Pulse
9,AFACTOR,0.5,4-11 (-7),2-3 (-1),55%,0.36,0%,0,0,25%,Ash,Jager
0,NEPTUNEZ,0.17,2-10 (-8),0-5 (-5),20%,0.2,0%,0,0,50%,Buck,Jager
1,AVIAN,1.17,8-8 (+0),1-0 (+1),60%,0.8,20%,1,0,50%,Capitao,Mute
2,SUPR,1.15,10-8 (+2),0-0 (+0),70%,1,20%,0,0,50%,Ash,Valkyrie
3,GODDESS,0.54,1-8 (-7),0-0 (+0),40%,0.1,20%,0,2,100%,Thermite,Mira
4,EVLWAFFLE,0.83,4-6 (-2),0-1 (-1),70%,0.4,40%,0,0,0%,Thermite,Smoke
5,GHOST,0.84,8-10 (-2),1-3 (-2),60%,0.8,0%,0,0,25%,Zofia,Smoke
6,SPADES,1.81,15-5 (+10),4-0 (+4),70%,1.5,50%,1,1,31%,Twitch,Pulse
7,YETI,1.34,9-6 (+3),2-0 (+2),80%,0.9,40%,1,0,22%,Buck,Mute
8,MODIGGA,1.24,10-6 (+4),2-1 (+1),70%,1,40%,0,0,50%,Zofia,Jager
9,READ,0.96,6-6 (+0),0-0 (+0),60%,0.6,40%,0,0,33%,Thatcher,Doc
0,BEASTLY,1.34,11-7 (+4),2-1 (+1),75%,0.92,42%,1,1,55%,Thermite,Smoke
1,GURMY,1.1,9-9 (+0),1-2 (-1),83%,0.75,25%,0,0,44%,Jackal,Echo
2,KARNAGEB,0.66,5-9 (-4),1-1 (+0),50%,0.42,25%,0,0,20%,Maverick,Jager
3,CALI,1.32,13-8 (+5),3-0 (+3),83%,1.08,33%,0,0,46%,Blackbeard,Mute
4,EUPHORIA,1.13,9-6 (+3),2-0 (+2),67%,0.75,50%,0,1,33%,IQ,Echo
5,ART,1.04,9-6 (+3),0-1 (-1),58%,0.75,50%,0,0,13%,Glaz,Kaid
6,OASIS,0.78,6-9 (-3),0-0 (+0),58%,0.5,25%,0,1,17%,Thermite,Smoke
