,player,rating,kills,ok,kost,kpr,srv,1vx,plant,hs,atk,def
6,REHDOG,1.16,10-7 (+3),0-3 (-3),58%,0.83,42%,1,0,40%,Nomad,Jager
7,YOUNGONE,0.55,3-10 (-7),0-4 (-4),50%,0.25,17%,0,1,33%,Jackal,Wamai
8,NOLN,0.59,3-8 (-5),2-1 (+1),33%,0.25,33%,1,0,33%,Thatcher,Smoke
9,PROCCO,1.14,12-9 (+3),1-1 (+0),50%,1,25%,0,0,67%,Ash,Vigil
0,EXOD,1.04,11-9 (+2),2-4 (-2),58%,0.92,25%,0,0,64%,Zofia,Lesion
1,PIXELLATED,1.35,14-9 (+5),4-2 (+2),75%,1.17,25%,0,0,79%,Montagne,Doc
2,FROSTY,1.26,12-7 (+5),0-1 (-1),75%,1,42%,1,0,45%,Buck,Jager
3,DCURR,0.67,3-10 (-7),0-0 (+0),58%,0.25,17%,0,2,100%,Dokkaebi,Smoke
4,FETTUCCINE,0.59,2-9 (-7),0-1 (-1),50%,0.17,25%,0,1,0%,Zofia,Valkyrie
5,ILUMINAUTI,1,10-8 (+2),2-1 (+1),42%,0.83,33%,0,0,100%,Capitao,Jager
6,VALORR,1.18,11-9 (+2),0-1 (-1),67%,0.92,25%,1,0,70%,IQ,Alibi
7,HALE,0.87,7-8 (-1),0-0 (+0),58%,0.58,33%,0,1,29%,Zofia,Smoke
8,SWAGGY,1.08,10-9 (+1),2-0 (+2),58%,0.83,25%,0,0,30%,Nomad,Doc
9,POYO,0.7,6-9 (-3),1-1 (+0),50%,0.5,25%,0,0,50%,IQ,Mozzie
0,LXVA,1.15,12-10 (+2),3-0 (+3),67%,1,17%,0,0,42%,Ash,Jager
1,FROZEN,1.09,8-8 (+0),2-1 (+1),83%,0.67,33%,0,0,57%,Nomad,Kaid
2,KARTLI,0.99,5-7 (-2),1-0 (+1),75%,0.42,42%,0,2,40%,Thermite,Maestro
3,WOODS,1.01,9-10 (-1),0-0 (+0),75%,0.75,17%,0,0,33%,IQ,Smoke
4,WITTLOC,1.24,11-8 (+3),4-0 (+4),83%,0.92,33%,0,0,60%,Sledge,Castle
5,CTRLFREEK,0.79,3-7 (-4),0-2 (-2),73%,0.27,36%,0,1,67%,Thermite,Smoke
6,LOADING,1.37,12-8 (+4),0-0 (+0),75%,1,33%,1,0,58%,IQ,Maestro
7,QRTZ.,0.78,8-10 (-2),0-4 (-4),58%,0.67,17%,0,0,43%,Maverick,Jager
8,ZAK.,0.6,6-11 (-5),1-3 (-2),50%,0.5,8%,0,0,75%,Zofia,Mozzie
9,DAN.,1.32,14-9 (+5),0-1 (-1),67%,1.17,25%,1,0,15%,Nomad,Mute
0,JOVI,0.75,6-8 (-2),0-4 (-4),45%,0.55,27%,0,0,67%,Ash,Lesion
1,ICONIC,1.24,10-7 (+3),0-2 (-2),64%,0.91,36%,1,1,44%,Montagne,Mozzie
