,Date,Team 1,Team 2,Team 1 Ban 1,Team 1 Ban 2,Team 1 Ban 3,Team 1 Pick 1,Team 2 Ban 1,Team 2 Ban 2,Team 2 Ban 3,Team 2 Pick 1,decider,Map 1 Round 1 Winner,Map 1 Round 1 Bombsite,Map 1 Round 1 Win Type,Map 1 Round 2 Winner,Map 1 Round 2 Bombsite,Map 1 Round 2 Win Type,Map 1 Round 3 Winner,Map 1 Round 3 Bombsite,Map 1 Round 3 Win Type,Map 1 Round 4 Winner,Map 1 Round 4 Bombsite,Map 1 Round 4 Win Type,Map 1 Round 5 Winner,Map 1 Round 5 Bombsite,Map 1 Round 5 Win Type,Map 1 Round 6 Winner,Map 1 Round 6 Bombsite,Map 1 Round 6 Win Type,Map 1 Round 7 Winner,Map 1 Round 7 Bombsite,Map 1 Round 7 Win Type,Map 2 Round 0 Winner,Map 2 Round 0 Bombsite,Map 2 Round 0 Win Type,Map 2 Round 1 Winner,Map 2 Round 1 Bombsite,Map 2 Round 1 Win Type,Map 2 Round 2 Winner,Map 2 Round 2 Bombsite,Map 2 Round 2 Win Type,Map 2 Round 3 Winner,Map 2 Round 3 Bombsite,Map 2 Round 3 Win Type,Map 2 Round 4 Winner,Map 2 Round 4 Bombsite,Map 2 Round 4 Win Type,Map 2 Round 5 Winner,Map 2 Round 5 Bombsite,Map 2 Round 5 Win Type,Map 2 Round 6 Winner,Map 2 Round 6 Bombsite,Map 2 Round 6 Win Type,Map 2 Round 7 Winner,Map 2 Round 7 Bombsite,Map 2 Round 7 Win Type,Map 3 Round 0 Winner,Map 3 Round 0 Bombsite,Map 3 Round 0 Win Type,Map 3 Round 1 Winner,Map 3 Round 1 Bombsite,Map 3 Round 1 Win Type,Map 3 Round 2 Winner,Map 3 Round 2 Bombsite,Map 3 Round 2 Win Type,Map 3 Round 3 Winner,Map 3 Round 3 Bombsite,Map 3 Round 3 Win Type,Map 3 Round 4 Winner,Map 3 Round 4 Bombsite,Map 3 Round 4 Win Type,Map 3 Round 5 Winner,Map 3 Round 5 Bombsite,Map 3 Round 5 Win Type,Map 1 Round 8 Winner,Map 1 Round 8 Bombsite,Map 1 Round 8 Win Type,Map 3 Round 6 Winner,Map 3 Round 6 Bombsite,Map 3 Round 6 Win Type,Map 1 Round 9 Winner,Map 1 Round 9 Bombsite,Map 1 Round 9 Win Type,Map 1 Round 10 Winner,Map 1 Round 10 Bombsite,Map 1 Round 10 Win Type,Map 1 Round 11 Winner,Map 1 Round 11 Bombsite,Map 1 Round 11 Win Type,Map 2 Round 8 Winner,Map 2 Round 8 Bombsite,Map 2 Round 8 Win Type,Map 2 Round 9 Winner,Map 2 Round 9 Bombsite,Map 2 Round 9 Win Type,Map 3 Round 7 Winner,Map 3 Round 7 Bombsite,Map 3 Round 7 Win Type,Map 3 Round 8 Winner,Map 3 Round 8 Bombsite,Map 3 Round 8 Win Type,Map 3 Round 9 Winner,Map 3 Round 9 Bombsite,Map 3 Round 9 Win Type,Map 2 Round 10 Winner,Map 2 Round 10 Bombsite,Map 2 Round 10 Win Type,Map 3 Round 10 Winner,Map 3 Round 10 Bombsite,Map 3 Round 10 Win Type,Map 1 Round 12 Winner,Map 1 Round 12 Bombsite,Map 1 Round 12 Win Type,Map 2 Round 11 Winner,Map 2 Round 11 Bombsite,Map 2 Round 11 Win Type,Map 2 Round 12 Winner,Map 2 Round 12 Bombsite,Map 2 Round 12 Win Type,Map 1 Round 13 Winner,Map 1 Round 13 Bombsite,Map 1 Round 13 Win Type,Map 3 Round 11 Winner,Map 3 Round 11 Bombsite,Map 3 Round 11 Win Type,Map 3 Round 12 Winner,Map 3 Round 12 Bombsite,Map 3 Round 12 Win Type,Map 4 Round 0 Winner,Map 4 Round 0 Bombsite,Map 4 Round 0 Win Type,Map 4 Round 1 Winner,Map 4 Round 1 Bombsite,Map 4 Round 1 Win Type,Map 4 Round 2 Winner,Map 4 Round 2 Bombsite,Map 4 Round 2 Win Type,Map 4 Round 3 Winner,Map 4 Round 3 Bombsite,Map 4 Round 3 Win Type,Map 4 Round 4 Winner,Map 4 Round 4 Bombsite,Map 4 Round 4 Win Type,Map 4 Round 5 Winner,Map 4 Round 5 Bombsite,Map 4 Round 5 Win Type,Map 4 Round 6 Winner,Map 4 Round 6 Bombsite,Map 4 Round 6 Win Type,Map 4 Round 7 Winner,Map 4 Round 7 Bombsite,Map 4 Round 7 Win Type,Map 4 Round 8 Winner,Map 4 Round 8 Bombsite,Map 4 Round 8 Win Type,Map 4 Round 9 Winner,Map 4 Round 9 Bombsite,Map 4 Round 9 Win Type,Map 4 Round 10 Winner,Map 4 Round 10 Bombsite,Map 4 Round 10 Win Type,Map 4 Round 11 Winner,Map 4 Round 11 Bombsite,Map 4 Round 11 Win Type,Map 4 Round 12 Winner,Map 4 Round 12 Bombsite,Map 4 Round 12 Win Type,Team 1 Pick 2,Team 2 Pick 2,Map 1 Round 14 Winner,Map 1 Round 14 Bombsite,Map 1 Round 14 Win Type,Map 1 Round 15 Winner,Map 1 Round 15 Bombsite,Map 1 Round 15 Win Type,Map 2 Round 13 Winner,Map 2 Round 13 Bombsite,Map 2 Round 13 Win Type,Map 2 Round 14 Winner,Map 2 Round 14 Bombsite,Map 2 Round 14 Win Type,Map 1 Round 16 Winner,Map 1 Round 16 Bombsite,Map 1 Round 16 Win Type,Map 1 Round 17 Winner,Map 1 Round 17 Bombsite,Map 1 Round 17 Win Type,Map 1 Round 18 Winner,Map 1 Round 18 Bombsite,Map 1 Round 18 Win Type,Map 1 Round 19 Winner,Map 1 Round 19 Bombsite,Map 1 Round 19 Win Type,Map 1 Round 20 Winner,Map 1 Round 20 Bombsite,Map 1 Round 20 Win Type,Map 1 Round 21 Winner,Map 1 Round 21 Bombsite,Map 1 Round 21 Win Type,Map 1 Round 22 Winner,Map 1 Round 22 Bombsite,Map 1 Round 22 Win Type,Map 1 Round 23 Winner,Map 1 Round 23 Bombsite,Map 1 Round 23 Win Type,Map 5 Round 0 Winner,Map 5 Round 0 Bombsite,Map 5 Round 0 Win Type,Map 5 Round 1 Winner,Map 5 Round 1 Bombsite,Map 5 Round 1 Win Type,Map 5 Round 2 Winner,Map 5 Round 2 Bombsite,Map 5 Round 2 Win Type,Map 5 Round 3 Winner,Map 5 Round 3 Bombsite,Map 5 Round 3 Win Type,Map 5 Round 4 Winner,Map 5 Round 4 Bombsite,Map 5 Round 4 Win Type,Map 5 Round 5 Winner,Map 5 Round 5 Bombsite,Map 5 Round 5 Win Type,Map 5 Round 6 Winner,Map 5 Round 6 Bombsite,Map 5 Round 6 Win Type,Map 5 Round 7 Winner,Map 5 Round 7 Bombsite,Map 5 Round 7 Win Type,Map 5 Round 8 Winner,Map 5 Round 8 Bombsite,Map 5 Round 8 Win Type,Map 5 Round 9 Winner,Map 5 Round 9 Bombsite,Map 5 Round 9 Win Type,Map 1 Round 24 Winner,Map 1 Round 24 Bombsite,Map 1 Round 24 Win Type,Map 3 Round 13 Winner,Map 3 Round 13 Bombsite,Map 3 Round 13 Win Type,Map 3 Round 14 Winner,Map 3 Round 14 Bombsite,Map 3 Round 14 Win Type,Team 1 Ban 4,Map 5 Round 10 Winner,Map 5 Round 10 Bombsite,Map 5 Round 10 Win Type,Map 5 Round 11 Winner,Map 5 Round 11 Bombsite,Map 5 Round 11 Win Type,Map 5 Round 12 Winner,Map 5 Round 12 Bombsite,Map 5 Round 12 Win Type,Map 5 Round 13 Winner,Map 5 Round 13 Bombsite,Map 5 Round 13 Win Type,Team 1 Pick 3,Map 4 Round 13 Winner,Map 4 Round 13 Bombsite,Map 4 Round 13 Win Type
3085,Mar 26 2020,NORA-Rengo,GUTS Gaming,Kafe,Villa,Theme Park,,Border,Coastline,Consulate,,Club House,NORA-Rengo,Church/Arsenal,elimination,GUTS Gaming,Church/Arsenal,round timer,NORA-Rengo,Cash/CCTV,elimination,GUTS Gaming,Master/Gym,elimination,NORA-Rengo,Church/Arsenal,elimination,NORA-Rengo,Cash/CCTV,elimination,NORA-Rengo,Church/Arsenal,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORA-Rengo,Cash/CCTV,elimination,,,,NORA-Rengo,Cash/CCTV,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,Mar 26 2020,NORA-Rengo,GUTS Gaming,Kafe,Theme Park,Villa,,Border,Coastline,Consulate,,Club House,GUTS Gaming,Church/Arsenal,elimination,GUTS Gaming,Church/Arsenal,elimination,NORA-Rengo,Cash/CCTV,elimination,NORA-Rengo,Church/Arsenal,elimination,NORA-Rengo,Master/Gym,elimination,NORA-Rengo,Cash/CCTV,elimination,GUTS Gaming,Church/Arsenal,round timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NORA-Rengo,Cash/CCTV,elimination,,,,GUTS Gaming,Master/Gym,elimination,GUTS Gaming,Church/Arsenal,elimination,GUTS Gaming,Cash/CCTV,elimination,,,,,,,,,,,,,,,,,,,,,,NORA-Rengo,Master/Gym,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3087,Mar 26 2020,CYCLOPS athlete gaming,TakumiFestival,Villa,Theme Park,Consulate,,Kafe,Border,Club House,,Coastline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3088,Mar 26 2020,CYCLOPS athlete gaming,TakumiFestival,Theme Park,Coastline,Villa,,Kafe,Border,Consulate,,Club House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3089,Mar 18 2020,Team SiNister,Pittsburgh Knights,Border,Coastline,Villa,,Kafe,Consulate,Theme Park,,Club House,Pittsburgh Knights,Church/Arsenal,elimination,Team SiNister,Cash/CCTV,elimination,Pittsburgh Knights,Master/Gym,round timer,Pittsburgh Knights,Church/Arsenal,elimination,Team SiNister,Cash/CCTV,elimination,Team SiNister,Master/Gym,elimination,Team SiNister,Cash/CCTV,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team SiNister,Master/Gym,elimination,,,,Team SiNister,Church/Arsenal,elimination,Team SiNister,Cash/CCTV,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3090,Mar 18 2020,Team SiNister,Pittsburgh Knights,Border,Consulate,Coastline,,Kafe,Club House,Theme Park,,Villa,Team SiNister,Aviator/Game Room,elimination,Team SiNister,Trophy/Statue,elimination,Team SiNister,Aviator/Game Room,elimination,Pittsburgh Knights,Kitchen/Dining,elimination,Pittsburgh Knights,Trophy/Statue,elimination ,Team SiNister,Aviator/Game Room,elimination,Pittsburgh Knights,Kitchen/Dining,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team SiNister,Aviator/Game Room,round timer,,,,Pittsburgh Knights,Trophy/Statue,elimination,Team SiNister,Kitchen/Dining,elimination,Team SiNister,Aviator/Game Room,site retake and defuser disable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3091,Mar 18 2020,Wildcard Gaming,TBD,Border,Coastline,Club House,,Theme Park,Kafe,Consulate,,Villa,Wildcard Gaming,Aviator/Game Room,elimination,TBD,Trophy/Statue,elimination,TBD,Trophy/Statue,elimination,Wildcard Gaming,Kitchen/Dining,elimination,TBD,Aviator/Game Room,elimination,Wildcard Gaming,Aviator/Game Room,round timer,TBD,Aviator/Game Room,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD,Trophy/Statue,elimination,,,,TBD,Kitchen/Dining,round timer,TBD,Aviator/Game Room,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3092,Mar 18 2020,Wildcard Gaming,TBD,Border,Coastline,Club House,,Theme Park,Kafe,Villa,,Consulate,TBD,CEO/Meeting,round timer,Wildcard Gaming,Garage/Cafeteria,elimination,TBD,Lobby/Piano,elimination,TBD,CEO/Meeting,elimination,Wildcard Gaming,Garage/Cafeteria,elimination,Wildcard Gaming,Lobby/Piano,elimination,TBD,Garage/Cafeteria,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wildcard Gaming,CEO/Meeting,elimination,,,,TBD,Garage/Cafeteria,elimination,TBD,Garage/Cafeteria,elimination,Wildcard Gaming,CEO/Meeting,elimination,,,,,,,,,,,,,,,,,,,,,,Wildcard Gaming,Lobby/Piano,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3093,Mar 19 2020,Wildcard Gaming,Elevate,Border,Villa,Kafe,,Coastline,Club House,Theme Park,,Consulate,Wildcard Gaming,CEO/Meeting,elimination,Elevate,Garage/Cafeteria,elimination,Wildcard Gaming,Lobby/Piano,elimination,Wildcard Gaming,CEO/Meeting,round timer,Elevate,Garage/Cafeteria,elimination,Wildcard Gaming,Lobby/Piano,site retake and defuser disable,Wildcard Gaming,Garage/Cafeteria,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wildcard Gaming,Garage/Cafeteria,elimination,,,,Wildcard Gaming,CEO/Meeting,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094,Mar 19 2020,Wildcard Gaming,Elevate,Border,Villa,Theme Park,,Club House,Coastline,Consulate,,Kafe,Wildcard Gaming,Bar/Cocktail,elimination,Elevate,Reading/Dining,elimination,Wildcard Gaming,Service/Cooking,site retake and defuser disable,Wildcard Gaming,Bar/Cocktail,site retake and defuser disable,Wildcard Gaming,Reading/Dining,elimination,Wildcard Gaming,Service/Cooking,round timer,Elevate,Bar/Cocktail,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elevate,Reading/Dining,elimination,,,,Wildcard Gaming,Service/Cooking,elimination,Wildcard Gaming,Bar/Cocktail,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3095,Mar 19 2020,Fury,Kanga Esports,Villa,Club House,Kafe,,Consulate,Theme Park,Coastline,,Border,Fury,Armory/Archives,elimination,Fury,Ventilation/Workshop,elimination,Kanga Esports,Armory/Archives,elimination,Kanga Esports,Ventilation/Workshop,elimination,Kanga Esports,Customs/Supply,elimination,Fury,Armory/Archives,elimination,Fury,Armory/Archives,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fury,Ventilation/Workshop,round timer,,,,Fury,Customs/Supply,elimination,Kanga Esports,Armory/Archives,elimination,Fury,Ventilation/Workshop,round timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3096,Mar 19 2020,Fury,Kanga Esports,Villa,Club House,Border,,Consulate,Theme Park,Kafe,,Coastline,Fury,Kitchen/Service,elimination,Kanga Esports,Hookah/Billiards,elimination,Fury,Blue/Sunrise,elimination,Fury,Kitchen/Service,elimination,Fury,Hookah/Billiards,elimination ,Kanga Esports,Kitchen/Service,elimination,Fury,Kitchen/Service,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fury,Hookah/Billiards,elimination,,,,Kanga Esports,Blue/Sunrise,elimination,Fury,Kitchen/Service,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3097,Mar 23 2020,Natus Vincere,Team Empire,Club House,Border,Kafe,,Villa,Theme Park,Consulate,,Coastline,Team Empire,Hookah/Billiards,elimination,Team Empire,Kitchen/Service,elimination,Team Empire,Blue/Sunrise,round timer,Team Empire,Hookah/Billiards,round timer,Team Empire,Kitchen/Service,site retake and defuser disable,Team Empire,Blue/Sunrise,elimination,Natus Vincere,Hookah/Billiards,round timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natus Vincere,Blue/Sunrise,elimination,,,,Natus Vincere,Kitchen/Service,round timer,Natus Vincere,Hookah/Billiards,elimination,Natus Vincere,Blue/Sunrise,elimination,,,,,,,,,,,,,,,,,,,,,,Team Empire,Kitchen/Service,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3098,Mar 23 2020,G2 Esports,Rogue,Coastline,Border,Villa,,Kafe,Theme Park,Consulate,,Club House,G2 Esports,Church/Arsenal,elimination,Rogue,Cash/CCTV,elimination,Rogue,Church/Arsenal,site retake and defuser disable,G2 Esports,Master/Gym,elimination,G2 Esports,Cash/CCTV,elimination,Rogue,Church/Arsenal,site retake and defuser disable,Rogue,Church/Arsenal,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogue,Cash/CCTV,elimination,,,,G2 Esports,Cash/CCTV,elimination,Rogue,Master/Gym,elimination,G2 Esports,Master/Gym,elimination,,,,,,,,,,,,,,,,,,,,,,Rogue,Church/Arsenal,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3099,Mar 23 2020,Team Vitality,forZe,Border,Club House,Theme Park,,Kafe,Villa,Coastline,,Consulate,forZe,Garage/Cafeteria,elimination,forZe,Lobby/Piano,elimination,forZe,CEO/Meeting,elimination,forZe,Garage/Cafeteria,elimination,forZe,Lobby/Piano,elimination,forZe,Garage/Cafeteria,elimination,forZe,CEO/Meeting,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,Mar 23 2020,Chaos,BDS Esport,Kafe,Club House,Consulate,,Coastline,Villa,Border,,Theme Park,Chaos,Armory/Throne Room,elimination,Chaos,Bunk/Day Care,elimination,BDS Esport,Initiation Room/Office,elimination,Chaos,Armory/Throne Room,elimination,BDS Esport,Bunk/Day Care,elimination,Chaos,Bunk/Day Care,elimination,Chaos,Lab/Storage,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chaos,Initiation Room/Office,elimination,,,,Chaos,Bunk/Day Care,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101,Mar 25 2020,forZe,Rogue,Coastline,Kafe,Theme Park,,Club House,Border,Consulate,,Villa,Rogue,Trophy/Statue,elimination,forZe,Aviator/Game Room,elimination,forZe,Aviator/Game Room,elimination,forZe,Trophy/Statue,elimination,Rogue,Kitchen/Dining,elimination,Rogue,Trophy/Statue,site retake and defuser disable,Rogue,Aviator/Game Room,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forZe,Trophy/Statue,elimination,,,,forZe,Aviator/Game Room,elimination,forZe,Kitchen/Dining,elimination,Rogue,Trophy/Statue,elimination,,,,,,,,,,,,,,,,,,,,,,Rogue,Aviator/Game Room,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3102,Mar 25 2020,G2 Esports,Team Empire,Club House,Consulate,Border,,Villa,Theme Park,Kafe,,Coastline,G2 Esports,Hookah/Billiards,elimination,G2 Esports,Kitchen/Service,elimination,G2 Esports,Hookah/Billiards,elimination,G2 Esports,Hookah/Billiards,elimination,G2 Esports,Blue/Sunrise,elimination,G2 Esports,Kitchen/Service,elimination,G2 Esports,Blue/Sunrise,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3103,Mar 25 2020,Team Vitality,Chaos,Coastline,Theme Park,Club House,,Kafe,Villa,Consulate,,Border,Chaos,Armory/Archives,elimination,Team Vitality,Ventilation/Workshop,elimination,Team Vitality,Ventilation/Workshop,elimination,Team Vitality,Armory/Archives,elimination,Team Vitality,Armory/Archives,elimination,Chaos,Customs/Supply,elimination,Chaos,Armory/Archives,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Team Vitality,Ventilation/Workshop,elimination,,,,Chaos,Armory/Archives,elimination,Chaos,Armory/Archives,elimination,Team Vitality,Ventilation/Workshop,site retake and defuser disable,,,,,,,,,,,,,,,,,,,,,,Chaos,Customs/Supply,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3104,Mar 25 2020,Natus Vincere,BDS Esport,Kafe,Club House,Border,,Coastline,Theme Park,Consulate,,Villa,Natus Vincere,Kitchen/Dining,elimination,BDS Esport,Aviator/Game Room,round timer,Natus Vincere,Trophy/Statue,elimination,Natus Vincere,Trophy/Statue,elimination,BDS Esport,Aviator/Game Room,elimination,BDS Esport,Kitchen/Dining,elimination,Natus Vincere,Aviator/Game Room,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BDS Esport,Trophy/Statue,elimination,,,,Natus Vincere,Kitchen/Dining,elimination,Natus Vincere,Aviator/Game Room,elimination,Natus Vincere,Trophy/Statue,site retake and defuser disable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3105,Mar 30 2020,G2 Esports,Chaos,Border,Villa,Club House,,Coastline,Consulate,Theme Park,,Kafe,Chaos,Bar/Cocktail,elimination,G2 Esports,Reading/Dining,elimination,Chaos,Service/Cooking,round timer,Chaos,Bar/Cocktail,elimination,G2 Esports,Reading/Dining,elimination,Chaos,Service/Cooking,round timer,G2 Esports,Bar/Cocktail,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chaos,Reading/Dining,elimination,,,,Chaos,Service/Cooking,elimination,G2 Esports,Bar/Cocktail,elimination,G2 Esports,Reading/Dining,elimination,,,,,,,,,,,,,,,,,,,,,,Chaos,Service/Cooking,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
